case_id,dice,iou,category,primary_group,review_priority,flags,image_path,label_path,prediction_path
tn3k_roi_0000,0.9076545504712391,0.8309226269609147,clean_high_confidence,clean_high_confidence,low,clean_high_confidence,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/imagesTs/tn3k_roi_0000_0000.png,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/labelsTs/tn3k_roi_0000.png,data/models/segmentation/nnunet-tn3k-roi-tight-2d-100epochs-ensemble-selected/imagesTs_pred/tn3k_roi_0000.png
tn3k_roi_0001,0.921189276510635,0.8538933257273246,clean_high_confidence,clean_high_confidence,low,clean_high_confidence,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/imagesTs/tn3k_roi_0001_0000.png,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/labelsTs/tn3k_roi_0001.png,data/models/segmentation/nnunet-tn3k-roi-tight-2d-100epochs-ensemble-selected/imagesTs_pred/tn3k_roi_0001.png
tn3k_roi_0002,0.9350361575661391,0.8779980317728103,clean_high_confidence,clean_high_confidence,low,clean_high_confidence,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/imagesTs/tn3k_roi_0002_0000.png,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/labelsTs/tn3k_roi_0002.png,data/models/segmentation/nnunet-tn3k-roi-tight-2d-100epochs-ensemble-selected/imagesTs_pred/tn3k_roi_0002.png
tn3k_roi_0003,0.8836139399764571,0.7914949600479811,moderate_boundary_error,borderline_boundary,medium,candidate_for_boundary_review,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/imagesTs/tn3k_roi_0003_0000.png,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/labelsTs/tn3k_roi_0003.png,data/models/segmentation/nnunet-tn3k-roi-tight-2d-100epochs-ensemble-selected/imagesTs_pred/tn3k_roi_0003.png
tn3k_roi_0004,0.8679307210664512,0.7666763308726778,multi_region_gt_partial,label_or_task_review,high,requires_label_or_task_review,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/imagesTs/tn3k_roi_0004_0000.png,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/labelsTs/tn3k_roi_0004.png,data/models/segmentation/nnunet-tn3k-roi-tight-2d-100epochs-ensemble-selected/imagesTs_pred/tn3k_roi_0004.png
tn3k_roi_0005,0.3877071313402102,0.2404694202130223,multi_region_gt_partial,label_or_task_review,high,low_dice_below_threshold;requires_label_or_task_review,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/imagesTs/tn3k_roi_0005_0000.png,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/labelsTs/tn3k_roi_0005.png,data/models/segmentation/nnunet-tn3k-roi-tight-2d-100epochs-ensemble-selected/imagesTs_pred/tn3k_roi_0005.png
tn3k_roi_0006,0.9560760768668655,0.9158484212119492,clean_high_confidence,clean_high_confidence,low,clean_high_confidence,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/imagesTs/tn3k_roi_0006_0000.png,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/labelsTs/tn3k_roi_0006.png,data/models/segmentation/nnunet-tn3k-roi-tight-2d-100epochs-ensemble-selected/imagesTs_pred/tn3k_roi_0006.png
tn3k_roi_0007,0.9507279950049318,0.9060834468841092,clean_high_confidence,clean_high_confidence,low,clean_high_confidence,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/imagesTs/tn3k_roi_0007_0000.png,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/labelsTs/tn3k_roi_0007.png,data/models/segmentation/nnunet-tn3k-roi-tight-2d-100epochs-ensemble-selected/imagesTs_pred/tn3k_roi_0007.png
tn3k_roi_0008,0.914733976837855,0.8428661335702651,clean_high_confidence,clean_high_confidence,low,clean_high_confidence,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/imagesTs/tn3k_roi_0008_0000.png,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/labelsTs/tn3k_roi_0008.png,data/models/segmentation/nnunet-tn3k-roi-tight-2d-100epochs-ensemble-selected/imagesTs_pred/tn3k_roi_0008.png
tn3k_roi_0009,0.925534686706717,0.8613909404575498,clean_high_confidence,clean_high_confidence,low,clean_high_confidence,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/imagesTs/tn3k_roi_0009_0000.png,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/labelsTs/tn3k_roi_0009.png,data/models/segmentation/nnunet-tn3k-roi-tight-2d-100epochs-ensemble-selected/imagesTs_pred/tn3k_roi_0009.png
tn3k_roi_0010,0.7046967031285857,0.5440399208669207,oversegmentation,model_hard,high,low_dice_below_threshold;candidate_for_hard_case_training,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/imagesTs/tn3k_roi_0010_0000.png,data/nnunet/nnUNet_raw/Dataset503_TN3KThyroidROITight/labelsTs/tn3k_roi_0010.png,data/models/segmentation/nnunet-tn3k-roi-tight-2d-100epochs-ensemble-selected/imagesTs_pred/tn3k_roi_0010.png
